,Bestellnummer,d1 (mm),d2,d3 (mm),h (mm),t (mm),Werkstoff

,GN 419-20-M5,20,M5,12,30,18,Kunststoff
,GN 419-20-M6,20,M6,12,30,18,Kunststoff
,GN 419-25-M6,25,M6,15,38,18,Kunststoff
,GN 419-25-M8,25,M8,15,38,18,Kunststoff
,GN 419-30-M8,30,M8,18,46,18,Kunststoff
,GN 419-30-M10,30,M10,18,46,18,Kunststoff
,GN 419-35-M10,35,M10,21,53,21,Kunststoff
,GN 419-35-M12,35,M12,21,53,21,Kunststoff
