,Bestellnummer,d1 (mm),d2 (mm),d3 (mm),d4 (mm),l1 (mm),l2 (mm),l3 (mm),sw (mm),Farbe,Material

,GN 798.3-KT-36-M8-SGA,36,M8,14,30,90,16,"1,5",4,SGA - schwarzgrau,KT - Kunststoff
,GN 798.3-KT-36-M8-WSA,36,M8,14,30,90,16,"1,5",4,WSA - weiﬂ,KT - Kunststoff
