,Bestellnummer,d1 (mm),l1 (mm),d2,l2 (mm),d3 (mm),Werkstoff

,GN 718.1-45-47-B12-G,45,47,B12,34,28,Kunststoff
,GN 718.1-45-65-B10-G,45,65,B10,50,23,Kunststoff
,GN 718.1-45-65-B12-G,45,65,B12,50,23,Kunststoff
