,Bestellnummer,d1 (mm),d2,d3 (mm),h (mm),t1 (mm),t2 ±0.5 (mm),Werkstoff

,GN 77-35-M8,35,M8,19,27,15,3.5,Kunststoff
,GN 77-45-M10,45,M10,24,34,20,4,Kunststoff
