,Bestellnummer,d1 (mm),l1 (mm),d2,l2 (mm),d3 (mm),Werkstoff

,GN 718.1-45-65-B10-T,45,65,B10,50,23,Kunststoff
,GN 718.1-45-65-B12-T,45,65,B12,50,23,Kunststoff
