,Bestellnummer,d1 (mm),d2,d3 (mm),d4 (mm),h (mm),t (mm),Werkstoff

,GN 518-27-B8,27,B8,15,20,42,25,Kunststoff
,GN 518-32-B10,32,B10,18,25,49,25,Kunststoff
