,Bestellnummer,d1 (mm),d2,d3 (mm),l1 (mm),l2 (mm),Werkstoff

,GN 203-12-M4,12,M4,9,40,8,Kunststoff/Stahl
,GN 203-15-M5,15,M5,11,50,7,Kunststoff/Stahl
,GN 203-18-M6,18,M6,13,64,8,Kunststoff/Stahl
,GN 203-21-M6,21,M6,15,72,10,Kunststoff/Stahl
,GN 203-21-M8,21,M8,15,72,10,Kunststoff/Stahl
,GN 203-25-M8,25,M8,17,90,10,Kunststoff/Stahl
,GN 203-26-M10,26,M10,20,100,12,Kunststoff/Stahl
,GN 203-33-M12,33,M12,25,124,14,Kunststoff/Stahl
