,Bestellnummer,d1 (mm),d2,d4 (mm),h (mm),t1 (mm),"t2±0,5 (mm)",t3 (mm),Werkstoff

,GN 719.2-16-B6-CL,16,B6,12,25,16,3.5,17,Kunststoff
,GN 719.2-20-B8-CL,20,B8,14,31,20,3.5,21,Kunststoff
,GN 719.2-26-B10-CL,26,B10,17,42,30,5,30,Kunststoff
,GN 719.2-34-B10-CL,34,B10,21,55,35,8,40,Kunststoff
,GN 719.2-34-B12-CL,34,B12,21,55,35,8,40,Kunststoff
