,Bestellnummer,d1 (mm),d2,d4 (mm),l1 (mm),l2 (mm),l3 (mm),Werkstoff

,GN 319.2-25-M6-A,25,M6,10,11,37.5,15,Stahl/Kunststoff
,GN 319.2-32-M8-A,32,M8,13,13,48,19,Stahl/Kunststoff
,GN 319.2-40-M10-A,40,M10,16,14,61,24,Stahl/Kunststoff
,GN 319.2-50-M12-A,50,M12,20,21,78,31,Stahl/Kunststoff
