,Bestellnummer,d1 (mm),d2,l1 (mm),d3 (mm),l2 (mm),l3 (mm),l4 (mm),Werkstoff

,GN 219-34-M10-67,34,M10,67,19,40,8,24,Kunststoff
,GN 219-34-M10-86,34,M10,86,20,48,7,25,Kunststoff
